tweet_id,cat_breed,conf_value
666020888022790149,Welsh_springer_spaniel,0.465074
666029285002620928,redbone,0.506826
666033412701032449,German_shepherd,0.596461
666044226329800704,Rhodesian_ridgeback,0.408143
666049248165822465,miniature_pinscher,0.560311
666050758794694657,Bernese_mountain_dog,0.651137
666055525042405380,chow,0.692517
666057090499244032,golden_retriever,0.00795896
666058600524156928,miniature_poodle,0.201493
666063827256086533,golden_retriever,0.77593
666071193221509120,Gordon_setter,0.503672
666073100786774016,Walker_hound,0.260857
666082916733198337,pug,0.489814
666094000022159362,bloodhound,0.195217
666099513787052032,Lhasa,0.58233
666102155909144576,English_setter,0.298617
666273097616637952,Italian_greyhound,0.176053
666287406224695296,Maltese_dog,0.8575309999999999
666337882303524864,Newfoundland,0.416669
666345417576210432,golden_retriever,0.8587440000000001
666353288456101888,malamute,0.33687399999999995
666373753744588802,soft-coated_wheaten_terrier,0.326467
666396247373291520,Chihuahua,0.978108
666407126856765440,black-and-tan_coonhound,0.529139
666418789513326592,toy_terrier,0.14968
666421158376562688,Blenheim_spaniel,0.906777
666428276349472768,Pembroke,0.371361
666430724426358785,Irish_terrier,0.505184
666435652385423360,Chesapeake_Bay_retriever,0.18413
666437273139982337,Chihuahua,0.6718529999999999
666447344410484738,curly-coated_retriever,0.32208400000000004
666454714377183233,dalmatian,0.278954
666644823164719104,Ibizan_hound,0.0443334
666649482315059201,Border_collie,0.447803
666691418707132416,German_shepherd,0.975401
666701168228331520,Labrador_retriever,0.887707
666739327293083650,miniature_poodle,0.546933
666776908487630848,miniature_pinscher,0.375057
666781792255496192,Italian_greyhound,0.618316
666804364988780544,English_setter,0.32879200000000003
666817836334096384,miniature_schnauzer,0.496953
666826780179869698,Maltese_dog,0.359383
666835007768551424,Airedale,0.448459
666996132027977728,Rottweiler,0.507637
667044094246576128,golden_retriever,0.765266
667062181243039745,Chesapeake_Bay_retriever,0.825678
667073648344346624,Chihuahua,0.483682
667090893657276420,Chihuahua,0.959514
667119796878725120,Pembroke,0.741563
667138269671505920,West_Highland_white_terrier,0.747713
667152164079423490,toy_poodle,0.535411
667160273090932737,golden_retriever,0.471351
667165590075940865,miniature_pinscher,0.140173
667171260800061440,giant_schnauzer,0.8412649999999999
667174963120574464,toy_poodle,0.266437
667176164155375616,soft-coated_wheaten_terrier,0.318981
667177989038297088,vizsla,0.25924899999999995
667182792070062081,golden_retriever,0.949892
667192066997374976,Rottweiler,0.28364
667200525029539841,Siberian_husky,0.694904
667211855547486208,golden_retriever,0.462556
667393430834667520,papillon,0.557009
667405339315146752,Saint_Bernard,0.381377
667435689202614272,Rottweiler,0.999091
667453023279554560,Labrador_retriever,0.8256700000000001
667455448082227200,Tibetan_terrier,0.676376
667470559035432960,toy_poodle,0.304175
667491009379606528,borzoi,0.852088
667495797102141441,Chihuahua,0.143957
667502640335572993,Labrador_retriever,0.996709
667509364010450944,beagle,0.636169
667517642048163840,Italian_greyhound,0.125176
667524857454854144,Chesapeake_Bay_retriever,0.08812239999999999
667530908589760512,golden_retriever,0.633037
667534815156183040,Pembroke,0.435254
667538891197542400,Yorkshire_terrier,0.618957
667544320556335104,Pomeranian,0.412893
667546741521195010,toy_poodle,0.787424
667550904950915073,vizsla,0.999335
667728196545200128,kuvasz,0.360159
667773195014021121,West_Highland_white_terrier,0.360465
667793409583771648,dalmatian,0.5350729999999999
667801013445750784,flat-coated_retriever,0.508392
667806454573760512,Chihuahua,0.253089
667832474953625600,miniature_pinscher,0.2142
667861340749471744,malamute,0.967275
667878741721415682,miniature_pinscher,0.200373
667885044254572545,malamute,0.0885297
667886921285246976,Pomeranian,0.8004319999999999
667902449697558528,Norwegian_elkhound,0.298881
667915453470232577,boxer,0.452517
667924896115245057,Labrador_retriever,0.209051
668113020489474048,Pembroke,0.548896
668171859951755264,Chihuahua,0.664834
668190681446379520,Blenheim_spaniel,0.958402
668204964695683073,Labrador_retriever,0.65518
668221241640230912,chow,0.395101
668237644992782336,chow,0.8093199999999999
668248472370458624,Chihuahua,0.7345470000000001
668256321989451776,Pembroke,0.0944294
668268907921326080,Pembroke,0.48483
668274247790391296,soft-coated_wheaten_terrier,0.406374
668286279830867968,golden_retriever,0.215944
668297328638447616,Eskimo_dog,0.0327838
668480044826800133,Labrador_retriever,0.119243
668484198282485761,standard_poodle,0.587372
668496999348633600,Staffordshire_bullterrier,0.412879
668507509523615744,basenji,0.0553794
668528771708952576,Labrador_retriever,0.195835
668537837512433665,Lakeland_terrier,0.372988
668542336805281792,American_Staffordshire_terrier,0.267695
668567822092664832,Shih-Tzu,0.985649
668623201287675904,Chihuahua,0.708163
668625577880875008,groenendael,0.0715361
668627278264475648,French_bulldog,0.965403
668631377374486528,miniature_schnauzer,0.904549
668633411083464705,Pekinese,0.589011
668636665813057536,komondor,0.999956
668641109086707712,pug,0.432594
668655139528511488,beagle,0.31911
668779399630725120,Chesapeake_Bay_retriever,0.285508
668815180734689280,redbone,0.461172
668826086256599040,malinois,0.640185
668852170888998912,golden_retriever,0.903529
668872652652679168,miniature_schnauzer,0.0355366
668892474547511297,kelpie,0.421979
668902994700836864,Brittany_spaniel,0.828425
668932921458302977,standard_poodle,0.237638
668955713004314625,cocker_spaniel,0.367492
668960084974809088,Chesapeake_Bay_retriever,0.226309
668975677807423489,basset,0.605437
668979806671884288,golden_retriever,0.608537
668986018524233728,Chihuahua,0.976103
668989615043424256,pug,0.917326
668994913074286592,English_springer,0.11378900000000003
669000397445533696,Pembroke,0.82294
669006782128353280,Chihuahua,0.127178
669037058363662336,Chihuahua,0.803528
669203728096960512,pug,0.910452
669216679721873412,golden_retriever,0.992758
669324657376567296,Cardigan,0.201659
669327207240699904,golden_retriever,0.919584
669328503091937280,Siberian_husky,0.424202
669353438988365824,Pembroke,0.379656
669354382627049472,Chihuahua,0.97399
669359674819481600,Labrador_retriever,0.367818
669363888236994561,golden_retriever,0.539004
669367896104181761,basset,0.749394
669371483794317312,Brabancon_griffon,0.483268
669375718304980992,Airedale,0.168762
669393256313184256,cocker_spaniel,0.359843
669564461267722241,toy_poodle,0.623685
669567591774625800,Chihuahua,0.980511
